61;AVULLY;Manège d'Avully - Le Courtil;Manège;Manège d'Avully - Le Courtil;Manège;1;extérieur
62;AVULLY;TC Avully;zone de sport;Courts de tennis;court;3;extérieur
63;AVULLY;TC Avully;zone de sport;Boulodrome;terrain;2;extérieur
64;AVUSY;Manège d'Avusy;Manège;Manège d'Avusy;Manège;1;extérieur et intérieur
65;AVUSY;Centre communal d'Avusy;zone de sport;Terrain de rugby;terrain;1;extérieur
66;AVUSY;Centre communal d'Avusy;zone de sport;Installations d'athlétisme;terrain;1;extérieur
67;AVUSY;Centre communal d'Avusy;zone de sport;Terrain de volleyball;salle;1;extérieur
68;AVUSY;Centre communal d'Avusy;zone de sport;Skate-park;terrain;1;extérieur
69;AVUSY;Centre communal d'Avusy;zone de sport;Boulodrome;terrain;10;extérieur
70;AVUSY;Ecole d'Avusy;salle;Terrain de basketball et football;terrain;1;extérieur
71;AVUSY;Ecole d'Avusy;salle;Terrain de football;terrain;1;extérieur
72;AVUSY;Ecole d'Avusy;salle;Salle de gymnastique - Salle des fêtes;salle;1;intérieur
73;AVUSY;Ecole d'Avusy;salle;Salle de rythmique;salle;1;intérieur
74;AVUSY;Salle communale de Sézegnin;terrain;Boulodrome;terrain;2;extérieur
75;BARDONNEX;Manège d'Evordes;Manège;Manège d'Evordes;Manège;1;extérieur et intérieur
76;BARDONNEX;Stand de tir;stand;Stand de tir;stand;1;intérieur
77;BARDONNEX;Salle communale de Bardonnex;salle;Salle de gymnastique;salle;1;intérieur
78;BARDONNEX;Salle communale de Bardonnex;salle;Salle de judo;salle;1;intérieur
79;BARDONNEX;Stade de Compesières;stade;Terrain de football C Hospitaliers;terrain;1;extérieur
80;BARDONNEX;Stade de Compesières;stade;Terrain de football B;terrain;1;extérieur
81;BARDONNEX;Stade de Compesières;stade;Terrain de football A;terrain;1;extérieur
82;BARDONNEX;Zone de sport de Compesières;terrain;Terrain multisports clôturé;terrain;1;extérieur
83;BARDONNEX;Zone de sport de Compesières;terrain;Skate-park;terrain;1;extérieur
